,song_id,duration_mins,popularity,danceability,energy,acousticness,valence,tempo,song,performer,peak_position,year,total_charting_weeks,top10
1254,MonsterParamore,3.3127,60.0,41.3,96.89999999999999,0.00287,37.4,164.999,Monster,Paramore,36.0,2011,2.0,False
1255,NudeRadiohead,4.256433333333334,63.0,53.7,34.2,83.3,15.6,128.331,Nude,Radiohead,37.0,2008,1.0,False
1256,Get On Your BootsU2,3.4191,31.0,55.900000000000006,75.0,0.00573,63.5,149.025,Get On Your Boots,U2,37.0,2009,3.0,False
1257,Love MeJustin Bieber,3.8244333333333334,73.0,57.099999999999994,87.3,8.07,61.3,139.691,Love Me,Justin Bieber,37.0,2009,4.0,False
1258,FaithfullyGlee Cast,4.564433333333334,53.0,41.199999999999996,54.0,14.399999999999999,9.98,129.891,Faithfully,Glee Cast,37.0,2010,1.0,False
1259,Girl On FireAlicia Keys Featuring Nicki Minaj,3.748666666666667,76.0,48.199999999999996,70.6,13.5,14.399999999999999,92.494,Girl On Fire,Alicia Keys Featuring Nicki Minaj,11.0,2012,30.0,False
1260,I Wanna Dance With Somebody (Who Loves Me)Whitney Houston,4.854883333333333,81.0,70.89999999999999,82.39999999999999,20.7,86.7,118.814,I Wanna Dance With Somebody (Who Loves Me),Whitney Houston,25.0,2012,20.0,False
1261,FreezeT-Pain Featuring Chris Brown,3.645766666666667,48.0,71.7,65.9,1.7999999999999998,53.6,119.991,Freeze,T-Pain Featuring Chris Brown,38.0,2008,10.0,False
1262,ListenGlee Cast,3.6542166666666667,44.0,51.7,64.4,17.4,19.5,122.694,Listen,Glee Cast,38.0,2010,1.0,False
1263,"MercyKanye West, Big Sean, Pusha T, 2 Chainz",5.488666666666667,73.0,73.7,54.50000000000001,8.55,44.3,140.086,Mercy,"Kanye West, Big Sean, Pusha T, 2 Chainz",13.0,2012,32.0,False
1264,It GirlJason Derulo,3.203333333333333,72.0,66.8,71.8,1.6500000000000001,34.5,91.993,It Girl,Jason Derulo,17.0,2011,22.0,False
